Person,Year,Location,Activity/Event
Jesus Christ,33 CE,Jerusalem,Rides into the city on the colt of an ass and is hailed as the Son of David.
Jesus Christ,33 CE,Jerusalem,Cleanses the temple of those using it for commerce.
Jesus Christ,33 CE,Mount of Olives,Foretells the end of the system and his future presence.
Jesus Christ,33 CE,Jerusalem,Celebrates the Passover with his apostles and institutes the Memorial.
Jesus Christ,33 CE,Jerusalem,Washes the feet of his apostles.
Jesus Christ,33 CE,Gethsemane,Prays in agony and is betrayed by Judas Iscariot.
Jesus Christ,33 CE,Jerusalem,Tried by the Sanhedrin
Jesus Christ,33 CE,Golgotha,Dies on a torture stake.
Jesus Christ,33 CE,Jerusalem,Buried in the tomb of Joseph of Arimathea.
Jesus Christ,33 CE,Jerusalem,Resurrected on the third day.
Jesus Christ,33 CE,Jerusalem,Appears to his disciples and instructs them to wait for the holy spirit.
Jesus Christ,33 CE,Mount of Olives,Ascends to heaven on the 40th day after his resurrection.
Mary (Mother of Jesus),33 CE,Jerusalem,Entrusted to the care of the apostle John at the death of Jesus.
Mary (Mother of Jesus),33 CE,Jerusalem,Present in the upper room for prayer with the apostles and Jesus' brothers.
James (Jesus brother),33 CE,Jerusalem,Assembled for prayer with his mother and brothers.
James (Jesus brother),36 CE,Jerusalem,Visited by Paul during Paul's first visit as a Christian.
James (Jesus brother),49 CE,Jerusalem,Presides at the conference regarding circumcision.
James (Jesus brother),56 CE,Jerusalem,Paul reports to him and the elders regarding his ministry.
James (Jesus brother),Before 62 CE,Jerusalem,Writes the letter of James.
James (Jesus brother),62 CE,Jerusalem,Stoned to death by order of High Priest Ananus.
"Jude (Judas, Jesus brother)",33 CE,Jerusalem,Assembled for prayer with the apostles and others.
"Jude (Judas, Jesus brother)",33 CE,Palestine,Writes the letter of Jude.
Simon (Jesus brother),33 CE,Jerusalem,Assembled for prayer with the apostles and others.
Peter (Simon),33 CE,Jerusalem,Sent with John to prepare the Passover.
Peter (Simon),33 CE,Gethsemane,Present with Jesus while he prays.
Peter (Simon),33 CE,Jerusalem,Denies Jesus three times.
Peter (Simon),33 CE,Jerusalem,Enters the empty tomb of Jesus.
Peter (Simon),33 CE,Jerusalem,Stands up with the eleven at Pentecost and speaks to the crowd.
Peter (Simon),33 CE,Jerusalem,Heals a lame beggar at the temple.
Peter (Simon),34 CE,Samaria,Sent with John to pray for new believers to receive holy spirit.
Peter (Simon),36 CE,Lydda,Heals paralyzed Aeneas.
Peter (Simon),36 CE,Joppa,Resurrects Dorcas (Tabitha).
Peter (Simon),36 CE,Joppa,Receives a vision regarding clean and unclean animals.
Peter (Simon),36 CE,Caesarea,Preaches to Cornelius and his household.
Peter (Simon),36 CE,Jerusalem,Hosted Paul for 15 days.
Peter (Simon),44 CE,Jerusalem,Imprisoned by Herod Agrippa I and released by an angel.
Peter (Simon),49 CE,Jerusalem,Testifies at the conference regarding circumcision.
Peter (Simon),62 CE,Babylon,Writes 1 Peter.
Peter (Simon),63 CE,Babylon,Residing in Babylon (implied by writing dates).
Peter (Simon),64 CE,Babylon,Writes 2 Peter.
John (Apostle),33 CE,Jerusalem,Sent with Peter to prepare the Passover.
John (Apostle),33 CE,Gethsemane,Present with Jesus while he prays.
John (Apostle),33 CE,Jerusalem,Entrusted with the care of Jesus' mother.
John (Apostle),33 CE,Jerusalem,Present at Pentecost.
John (Apostle),33 CE,Jerusalem,Heals a lame man with Peter at the temple.
John (Apostle),34 CE,Samaria,Sent with Peter to assist new believers.
John (Apostle),49 CE,Jerusalem,Present at the conference as a pillar of the congregation.
Matthew,33 CE,Jerusalem,Present in the upper room.
Matthew,41 CE,Israel,Writes the Gospel of Matthew.
James (Son of Zebedee),33 CE,Gethsemane,Present with Jesus while he prays.
James (Son of Zebedee),33 CE,Jerusalem,Present in the upper room.
James (Son of Zebedee),44 CE,Jerusalem,Executed by Herod Agrippa I.
Andrew,33 CE,Mount of Olives,Asks Jesus about the sign of the conclusion of the system of things.
Andrew,33 CE,Jerusalem,Present in the upper room.
Philip (Apostle),33 CE,Jerusalem,Present in the upper room.
Bartholomew (Nathanael),33 CE,Sea of Tiberias,Fishing with disciples when Jesus appears.
Bartholomew (Nathanael),33 CE,Jerusalem,Present in the upper room.
Thomas,33 CE,Sea of Tiberias,Fishing with disciples when Jesus appears.
Thomas,33 CE,Jerusalem,Present in the upper room.
"Thaddaeus (Judas, son of James)",33 CE,Jerusalem,Present in the upper room.
Simon (the zealous one),33 CE,Jerusalem,Present in the upper room.
James (Son of Alphaeus/The Less),33 CE,Jerusalem,Present in the upper room.
Matthias,33 CE,Jerusalem,Chosen to replace Judas Iscariot.
Matthias,33 CE,Jerusalem,Present at Pentecost.
