Person,Year,Location,Activity/Event
Barnabas,33 CE,Jerusalem,Voluntarily sells a piece of land and gives the money to the apostles.
Paul,34 CE,Road to Damascus,Jesus appears to him in a bright light and questions why Saul persecutes him.
Paul,34 CE,Damascus,Blinded by the light; instructed to enter the city where Ananias restores his sight.
Paul,34 CE,Damascus,Baptized by Ananias and begins preaching in the synagogues.
Philip (Evangelizer),34 CE,Samaria,Preaches and performs signs; curing many paralyzed persons.
Philip (Evangelizer),34 CE,Road to Gaza,Baptizes an Ethiopian eunuch.
Philip (Evangelizer),34 CE,Azotus,Preaches the good news.
Philip (Evangelizer),34 CE,Caesarea,Preaches the good news.
Paul,35 CE,Damascus,Preaches in the synagogues immediately after his conversion.
Paul,36 CE,Jerusalem,First visit as a Christian; Barnabas introduces him to Peter and James.
Barnabas,36 CE,Jerusalem,Introduces Paul to the apostles when others are afraid of him.
Paul,36 CE,Caesarea,Sent away by the brothers to Tarsus to escape a plot against his life.
Paul,36 CE,Tarsus,Sent here for safety; spends silent years preaching in Syria and Cilicia.
Cornelius,36 CE,Caesarea,Converted as the first uncircumcised Gentile believer.
Paul,37 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,38 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,39 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,40 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,41 CE,Tarsus,Receives a supernatural vision of the third heaven (date approximate).
Paul,42 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,43 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Paul,44 CE,Tarsus,Continues preaching in the regions of Syria and Cilicia.
Mark,44 CE,Jerusalem,Peter comes to his mother's home after being released from prison.
Agabus,44 CE,Antioch (Syria),Prophesies a great famine.
Barnabas,45 CE,Antioch (Syria),Sent by the Jerusalem congregation to encourage the new believers.
Barnabas,45 CE,Tarsus,Goes to Tarsus to find Paul and bring him to Antioch.
Paul,45 CE,Antioch (Syria),Brought by Barnabas to help with the work; teaches for a year.
Paul,46 CE,Antioch (Syria),Sent with Barnabas to Jerusalem with a relief ministration.
Barnabas,46 CE,Antioch (Syria),Sent with Paul to Jerusalem with a relief ministration.
Mark,46 CE,Antioch (Syria),Accompanies Paul and Barnabas from Jerusalem to Antioch.
Paul,47 CE,Antioch (Syria),Set aside by holy spirit for missionary work.
Barnabas,47 CE,Antioch (Syria),Set aside by holy spirit for missionary work.
Mark,47 CE,Salamis,Serves as an attendant to Paul and Barnabas on their first tour.
Paul,47 CE,Salamis,Preaches in the synagogues.
Barnabas,47 CE,Salamis,Preaches in the synagogues.
Paul,47 CE,Paphos,Blinds the sorcerer Elymas and converts Sergius Paulus.
Barnabas,47 CE,Paphos,Witnesses the conversion of Sergius Paulus.
Mark,47 CE,Perga,Leaves Paul and Barnabas and returns to Jerusalem.
Paul,47 CE,Antioch (Pisidia),Preaches in the synagogue; expelled by Jews.
Barnabas,47 CE,Antioch (Pisidia),Preaches with Paul; expelled.
Paul,48 CE,Iconium,Preaches to Jews and Greeks; threatened with stoning.
Barnabas,48 CE,Iconium,Preaches with Paul; threatened with stoning.
Paul,48 CE,Lystra,Heals a lame man; stoned and dragged out of the city.
Barnabas,48 CE,Lystra,Mistaken for Zeus by the crowds.
Paul,48 CE,Derbe,Preaches and makes disciples.
Barnabas,48 CE,Derbe,Preaches with Paul.
Timothy,48 CE,Lystra,Meets Paul; his mother and grandmother become Christians.
Paul,49 CE,Antioch (Syria),Disputes with men from Judea regarding circumcision.
Barnabas,49 CE,Antioch (Syria),Disputes regarding circumcision.
Paul,49 CE,Jerusalem,Attends the conference regarding circumcision.
Barnabas,49 CE,Jerusalem,Attends the conference regarding circumcision.
Titus,49 CE,Jerusalem,Accompanies Paul; not compelled to be circumcised.
Silas,49 CE,Antioch (Syria),Sent from Jerusalem to deliver the decree and encourage the brothers.
Paul,49 CE,Antioch (Syria),Reproves Peter for separating from Gentile believers.
Barnabas,49 CE,Antioch (Syria),Separates from Paul over Mark; takes Mark to Cyprus.
Mark,49 CE,Cyprus,Sails with Barnabas to preach.
Paul,49 CE,Syria,Travels with Silas strengthening congregations.
Silas,49 CE,Syria,Travels with Paul strengthening congregations.
Paul,50 CE,Lystra,Selects Timothy as a companion; circumcises him.
Timothy,50 CE,Lystra,Chosen by Paul; circumcised.
Silas,50 CE,Lystra,Accompanies Paul.
Luke,50 CE,Troas,Joins Paul's company (implied by we).
Paul,50 CE,Troas,Receives vision of a Macedonian man.
Paul,50 CE,Philippi,Imprisoned with Silas; jailer baptized.
Silas,50 CE,Philippi,Imprisoned with Paul; beaten.
Timothy,50 CE,Philippi,Shares in Christian activities.
Luke,50 CE,Philippi,Participates in preaching (implied by we).
Lydia,50 CE,Philippi,Converted; hosts Paul and his companions.
Paul,50 CE,Thessalonica,Preaches; mob violence forces departure.
Silas,50 CE,Thessalonica,Preaches with Paul.
Timothy,50 CE,Thessalonica,Preaches with Paul.
Jason,50 CE,Thessalonica,Hosts Paul; house assaulted by a mob.
Paul,50 CE,Beroea,Preaches; leaves due to opposition.
Silas,50 CE,Beroea,Stays behind to care for new believers.
Timothy,50 CE,Beroea,Stays behind to care for new believers.
Paul,50 CE,Athens,Preaches in the marketplace and on the Areopagus.
Paul,50 CE,Corinth,Arrives; stays with Aquila and Priscilla.
Aquila,50 CE,Corinth,Meets Paul; works with him in tentmaking.
Priscilla,50 CE,Corinth,Meets Paul; works with him.
Gaius (of Corinth),50 CE,Corinth,Baptized by Paul.
Paul,50 CE,Corinth,Writes 1 Thessalonians.
Timothy,50 CE,Corinth,Rejoins Paul with good news from Thessalonica.
Silas,50 CE,Corinth,Rejoins Paul.
Paul,51 CE,Corinth,Writes 2 Thessalonians.
Paul,52 CE,Corinth,Brought before Gallio.
Paul,52 CE,Ephesus,Brief stop; leaves Aquila and Priscilla.
Aquila,52 CE,Ephesus,Travels with Paul and remains there.
Priscilla,52 CE,Ephesus,Travels with Paul and remains there.
Paul,52 CE,Antioch (Syria),Completes second tour; starts third tour.
